ID,Title,Link,Date,done,propose dataset,tool-use llm-agent,safety/security,out of scope,why out of scope,domain,domain details,policy,policy example,policy categories
199,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,https://arxiv.org/pdf/2510.02209v2,2025-10-02 16:54:57+00:00,TRUE,Yes,yes,no,,,,,,,
200,Benchmarks and Algorithms for Offline Preference-Based Reward Learning,https://arxiv.org/pdf/2301.01392v1,2023-01-03 23:52:16+00:00,TRUE,Yes,no,,,,,,,,
201,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,https://arxiv.org/pdf/2505.15216v3,2025-05-21 07:44:52+00:00,TRUE,Yes,yes,yes,yes,"This paper evaluates how good an agent can perform cybersec task, not how secure an agent is",,,,,
202,"MedConsultBench: A Full-Cycle, Fine-Grained, Process-Aware Benchmark for Medical Consultation Agents",https://arxiv.org/pdf/2601.12661v1,2026-01-19 02:18:10+00:00,TRUE,Yes,no,,,,,,,,
203,VCode: a Multimodal Coding Benchmark with SVG as Symbolic Visual Representation,https://arxiv.org/pdf/2511.02778v1,2025-11-04 18:00:18+00:00,TRUE,Yes,yes,no,,,,,,,
204,Dynamic Benchmarking of Reasoning Capabilities in Code Large Language Models Under Data Contamination,https://arxiv.org/pdf/2503.04149v2,2025-03-06 06:56:59+00:00,TRUE,Yes,no,,,,,,,,
205,MoralityGym: A Benchmark for Evaluating Hierarchical Moral Alignment in Sequential Decision-Making Agents,https://arxiv.org/pdf/2602.13372v1,2026-02-13 15:40:32+00:00,TRUE,Yes,no,,,,,,,,
206,Human Choice Prediction in Language-based Persuasion Games: Simulation-based Off-Policy Evaluation,https://arxiv.org/pdf/2305.10361v6,2023-05-17 16:38:11+00:00,TRUE,Yes,no,,,,,,,,
207,MedDialogRubrics: A Comprehensive Benchmark and Evaluation Framework for Multi-turn Medical Consultations in Large Language Models,https://arxiv.org/pdf/2601.03023v2,2026-01-06 13:56:33+00:00,TRUE,Yes,no,,,,,,,,
208,CyberGym: Evaluating AI Agents' Real-World Cybersecurity Capabilities at Scale,https://arxiv.org/pdf/2506.02548v2,2025-06-03 07:35:14+00:00,TRUE,Yes,yes,yes,yes,"It evaluates how good an agent can do cybersec task, not how secure an agent is",,,,,
209,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,https://arxiv.org/pdf/2412.14161v3,2024-12-18 18:55:40+00:00,TRUE,Yes,yes,no,,,,,,,
210,DataGovBench: Benchmarking LLM Agents for Real-World Data Governance Workflows,https://arxiv.org/pdf/2512.04416v2,2025-12-04 03:25:12+00:00,TRUE,Yes,yes,no,,,,,,,
211,HR-MultiWOZ: A Task Oriented Dialogue (TOD) Dataset for HR LLM Agent,https://arxiv.org/pdf/2402.01018v1,2024-02-01 21:10:44+00:00,TRUE,Yes,no,,,,,,,,
212,CORE: Full-Path Evaluation of LLM Agents Beyond Final State,https://arxiv.org/pdf/2509.20998v1,2025-09-25 10:49:35+00:00,TRUE,Yes,yes,yes,no,,domain specific,"a lot, see table 3",N/A,,"no categories of safety rule, basically human define disallowed tool interacting sequence for each task as an evaluation"
213,Welfare Diplomacy: Benchmarking Language Model Cooperation,https://arxiv.org/pdf/2310.08901v1,2023-10-13 07:15:32+00:00,TRUE,Yes,no,,,,,,,,
214,DrafterBench: Benchmarking Large Language Models for Tasks Automation in Civil Engineering,https://arxiv.org/pdf/2507.11527v1,2025-07-15 17:56:04+00:00,TRUE,Yes,yes,no,,,,,,,
215,SocialDF: Benchmark Dataset and Detection Model for Mitigating Harmful Deepfake Content on Social Media Platforms,https://arxiv.org/pdf/2506.05538v1,2025-06-05 19:39:28+00:00,TRUE,Yes,no,,,,,,,,
216,MoPHES:Leveraging on-device LLMs as Agent for Mobile Psychological Health Evaluation and Support,https://arxiv.org/pdf/2510.16085v1,2025-10-17 15:22:42+00:00,TRUE,Yes,no,,,,,,,,
217,Knots: A Large-Scale Multi-Agent Enhanced Expert-Annotated Dataset and LLM Prompt Optimization for NOTAM Semantic Parsing,https://arxiv.org/pdf/2511.12630v1,2025-11-16 14:52:24+00:00,TRUE,Yes,no,,,,,,,,
218,It's the Thought that Counts: Evaluating the Attempts of Frontier LLMs to Persuade on Harmful Topics,https://arxiv.org/pdf/2506.02873v4,2025-06-03 13:37:51+00:00,TRUE,Yes,no,,,,,,,,
219,"Researchy Questions: A Dataset of Multi-Perspective, Decompositional Questions for LLM Web Agents",https://arxiv.org/pdf/2402.17896v1,2024-02-27 21:27:16+00:00,TRUE,Yes,no,,,,,,,,
220,OCCULT: Evaluating Large Language Models for Offensive Cyber Operation Capabilities,https://arxiv.org/pdf/2502.15797v1,2025-02-18 19:33:14+00:00,TRUE,Yes,yes,yes,yes,"This paper aims to evaluate how good an agent can do cybersec task, not how secure an agent is",,,,,
221,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,https://arxiv.org/pdf/2408.08926v4,2024-08-15 17:23:10+00:00,TRUE,Yes,yes,yes,yes,"The paper evaluates how good an agent can act as a security expert, not how secure an agent can be",,,,,
222,RAGalyst: Automated Human-Aligned Agentic Evaluation for Domain-Specific RAG,https://arxiv.org/pdf/2511.04502v1,2025-11-06 16:22:52+00:00,TRUE,Yes,no,,,,,,,,
223,ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks,https://arxiv.org/pdf/2502.05352v1,2025-02-07 21:46:52+00:00,TRUE,Yes,yes,no,,,,,,,
224,FinBen: A Holistic Financial Benchmark for Large Language Models,https://arxiv.org/pdf/2402.12659v2,2024-02-20 02:16:16+00:00,TRUE,Yes,no,,,,,,,,
225,"AI Transparency Atlas: Framework, Scoring, and Real-Time Model Card Evaluation Pipeline",https://arxiv.org/pdf/2512.12443v1,2025-12-13 19:48:44+00:00,TRUE,No,,,,,,,,,
226,Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,https://arxiv.org/pdf/2304.03279v4,2023-04-06 17:59:03+00:00,TRUE,Yes,no,,,,,,,,
227,DroidCall: A Dataset for LLM-powered Android Intent Invocation,https://arxiv.org/pdf/2412.00402v1,2024-11-30 08:55:39+00:00,TRUE,Yes,yes,no,,,,,,,
228,MemeCMD: An Automatically Generated Chinese Multi-turn Dialogue Dataset with Contextually Retrieved Memes,https://arxiv.org/pdf/2507.00891v1,2025-07-01 15:57:14+00:00,TRUE,Yes,no,,,,,,,,
229,The Seeker's Dilemma: Realistic Formulation and Benchmarking for Hardware Trojan Detection,https://arxiv.org/pdf/2402.17918v1,2024-02-27 22:14:01+00:00,TRUE,Yes,no,,,,,,,,
